relative_path,filename,extension,size_bytes,file_hash,include,duplicate_of,kb_lane,scene,doc_type
sop1/奥地利包装法   SOP指引    interzero_customer guide.pdf,奥地利包装法   SOP指引    interzero_customer guide.pdf,.pdf,869821,69526c1cd514e9a3,True,,policy_ops,policy,pdf_sop
sop1/如何上款组合装-指引1229.docx,如何上款组合装-指引1229.docx,.docx,651395,ef5d2e963dd69e52,True,,policy_ops,policy,docx_sop
sop1/如何处理知识产权相关问题.pdf,如何处理知识产权相关问题.pdf,.pdf,1726725,e7c7982247161a02,True,,policy_ops,policy,pdf_sop
sop1/定制品发布流程--TEMU.pdf,定制品发布流程--TEMU.pdf,.pdf,438977,77d829d506567303,True,,policy_ops,policy,pdf_sop
sop1/实物标签合规-产品本体标识(可对外）1201.pdf,实物标签合规-产品本体标识(可对外）1201.pdf,.pdf,1943309,074ee0da6c51c6ec,True,,policy_ops,policy,pdf_sop
sop1/已修改-男装通用商品声明函.docx,已修改-男装通用商品声明函.docx,.docx,19557,3bf72873dccd5cf0,True,,policy_ops,policy,docx_sop
sop1/已确认-男装通用商品声明函-EN.docx,已确认-男装通用商品声明函-EN.docx,.docx,29471,f72a6c21f3613872,True,,policy_ops,policy,docx_sop
sop1/常见收货入库异常case分享1.pdf,常见收货入库异常case分享1.pdf,.pdf,9908720,4d1721588d25d22c,True,,merchant_guide,inventory,pdf_sop
sop1/德国EPR包装法全流程.pdf,德国EPR包装法全流程.pdf,.pdf,1182067,489c647feb199da7,True,,policy_ops,policy,pdf_sop
sop1/德国包装法注册号指导（卖家版）.pdf,德国包装法注册号指导（卖家版）.pdf,.pdf,3606934,bfd2ea7df2b0744c,True,,policy_ops,policy,pdf_sop
sop1/搞定合规标签，助力黑五备货（114直播版）(1).pdf,搞定合规标签，助力黑五备货（114直播版）(1).pdf,.pdf,8015577,0ac7d01e80960056,True,,policy_ops,policy,pdf_sop
sop1/新版发货流程.pdf,新版发货流程.pdf,.pdf,443848,4232898ef1eb3230,True,,merchant_guide,inventory,pdf_sop
sop1/本对本模式介绍-更新(1).pptx,本对本模式介绍-更新(1).pptx,.pptx,1674501,511d616a1dfdb696,True,,category_training,activity,ppt_training
sop1/标码男装尺码表.pdf,标码男装尺码表.pdf,.pdf,458207,49e5e90e6113e4ef,True,,policy_ops,policy,pdf_sop
sop1/模特卡.pdf,模特卡.pdf,.pdf,1102202,528c0dea72814933,True,,policy_ops,policy,pdf_sop
sop1/欧代标签模板.pdf,欧代标签模板.pdf,.pdf,2242514,02dbf8ff2d5ecfb7,True,,policy_ops,policy,pdf_sop
sop1/欧美常规男装行业惯例分享-250812.pdf,欧美常规男装行业惯例分享-250812.pdf,.pdf,7061786,9ec01d10827277a0,True,,policy_ops,policy,pdf_sop
sop1/欧美常规男装行业惯例分享241210.pdf,欧美常规男装行业惯例分享241210.pdf,.pdf,5531447,0917cc08114ad14e,True,,policy_ops,policy,pdf_sop
sop1/欧英代信息上传指引 SOP.pdf,欧英代信息上传指引 SOP.pdf,.pdf,463687,a1513e5d7a61e5c2,True,,policy_ops,policy,pdf_sop
sop1/用200元就能给商品拍视频的方法.pdf,用200元就能给商品拍视频的方法.pdf,.pdf,819760,e4ebea256a928e68,True,,policy_ops,policy,pdf_sop
sop1/男装尺码--测量图.pdf,男装尺码--测量图.pdf,.pdf,56249,19f1485af0e59d0c,True,,policy_ops,policy,pdf_sop
sop1/美国站销售潜力商品售卖攻略（0808）.pdf,美国站销售潜力商品售卖攻略（0808）.pdf,.pdf,4078615,be4ff1e9f5f9c0b3,True,,policy_ops,policy,pdf_sop
sop1/美码转码和尺码映射(20251113打印版）.pptx,美码转码和尺码映射(20251113打印版）.pptx,.pptx,64515,51efc23ff965b5ac,True,,category_training,activity,ppt_training
sop1/跨主体店铺合并发货SOP.pdf,跨主体店铺合并发货SOP.pdf,.pdf,1464733,da5d62aad2a86f4f,True,,merchant_guide,inventory,pdf_sop
sop1/跨境商家如何降低售罄分享-0228直播内容.pdf,跨境商家如何降低售罄分享-0228直播内容.pdf,.pdf,2176578,74e0ab378fd4de80,True,,merchant_guide,inventory,pdf_sop
sop1/跨境店铺备货逻辑说明 3.19直播内容（可对外）.pdf,跨境店铺备货逻辑说明 3.19直播内容（可对外）.pdf,.pdf,1740681,5828fda4ee9c3480,True,,policy_ops,policy,pdf_sop
sop1/转码和尺码映射操作方法.pdf,转码和尺码映射操作方法.pdf,.pdf,1061374,799a59e48a62a9b8,True,,policy_ops,policy,pdf_sop
sop1/运动&户外行业趋势快速报告【市场部网推荐】.pdf,运动&户外行业趋势快速报告【市场部网推荐】.pdf,.pdf,6202694,51a27094150c4bd0,True,,category_training,activity,pdf_sop
sop1/运动户外相关数据解析&春夏规划.pptx,运动户外相关数据解析&春夏规划.pptx,.pptx,5351185,de74190a3fb58c36,True,,category_training,activity,ppt_training
sop2/1AA运动户外男装-下半年-汇总.pdf,1AA运动户外男装-下半年-汇总.pdf,.pdf,28418777,9954a65a12c38228,True,,category_training,activity,pdf_sop
sop2/2025年运动户外春季分享会1-(1).pdf,2025年运动户外春季分享会1-(1).pdf,.pdf,39835518,f10b9bee8207d0ec,True,,category_training,activity,pdf_sop
sop2/Temu定制品（非标）流程介绍-光光子.pptx,Temu定制品（非标）流程介绍-光光子.pptx,.pptx,22789648,be1b876b4bf31f7e,True,,category_training,activity,ppt_training
sop2/【常规店铺】商家到货异常及退货规则培训V3.pdf,【常规店铺】商家到货异常及退货规则培训V3.pdf,.pdf,11961873,775676c636949523,True,,merchant_guide,inventory,pdf_sop
sop2/半托管-长时效模式直播6.13.pdf,半托管-长时效模式直播6.13.pdf,.pdf,11763021,0fef6d2157f72607,True,,merchant_guide,inventory,pdf_sop
sop2/卖家发货SOP（完整版）.pdf,卖家发货SOP（完整版）.pdf,.pdf,10705598,974092fa724a0945,True,,merchant_guide,inventory,pdf_sop
sop2/男士-泳衣泳裤.pptx,男士-泳衣泳裤.pptx,.pptx,25700356,3e765c3ad86f757e,True,,category_training,activity,ppt_training
sop2/运动户外男装- 直播11.13户外aaa.pdf,运动户外男装- 直播11.13户外aaa.pdf,.pdf,13496539,bcd79b0fc6f2d976,True,,category_training,activity,pdf_sop
